name,owner,description,homepage,repo_license,num_forks,watchers,date_of_collection,num_stars
jabref,JabRef,Graphical Java application for managing BibTeX and biblatex (.bib) databases,https://devdocs.jabref.org,MIT License,1997,2827,2022-12-09,2827
INF502-Fall22,chavesana,Repo for information about INF502 Graduate Course: Software Development Methodologies @ NAU,,The Unlicense,29,5,2022-12-09,5
INF502-Fall22,chavesana,Repo for information about INF502 Graduate Course: Software Development Methodologies @ NAU,,The Unlicense,29,5,2022-12-09,5
jabref,JabRef,Graphical Java application for managing BibTeX and biblatex (.bib) databases,https://devdocs.jabref.org,MIT License,1997,2827,2022-12-09,2827
free-programming-books,EbookFoundation,:books: Freely available programming books,https://ebookfoundation.github.io/free-programming-books/,Other,52800,257928,2022-12-09,257928
INF502-Fall22,chavesana,Repo for information about INF502 Graduate Course: Software Development Methodologies @ NAU,,The Unlicense,29,5,2022-12-09,5
INF502-Fall22,chavesana,Repo for information about INF502 Graduate Course: Software Development Methodologies @ NAU,,The Unlicense,29,5,2022-12-09,5
INF502-Fall22,chavesana,Repo for information about INF502 Graduate Course: Software Development Methodologies @ NAU,,The Unlicense,29,5,2022-12-09,5
INF502-Fall22,chavesana,Repo for information about INF502 Graduate Course: Software Development Methodologies @ NAU,,The Unlicense,29,5,2022-12-09,5
INF502-Fall22,chavesana,Repo for information about INF502 Graduate Course: Software Development Methodologies @ NAU,,The Unlicense,29,5,2022-12-09,5
INF502-Fall22,chavesana,Repo for information about INF502 Graduate Course: Software Development Methodologies @ NAU,,The Unlicense,29,5,2022-12-09,5
INF502-Fall22,chavesana,Repo for information about INF502 Graduate Course: Software Development Methodologies @ NAU,,The Unlicense,29,5,2022-12-09,5
INF502-Fall22,chavesana,Repo for information about INF502 Graduate Course: Software Development Methodologies @ NAU,,The Unlicense,29,5,2022-12-09,5
INF502-Fall22,chavesana,Repo for information about INF502 Graduate Course: Software Development Methodologies @ NAU,,The Unlicense,29,5,2022-12-09,5
INF502-Fall22,chavesana,Repo for information about INF502 Graduate Course: Software Development Methodologies @ NAU,,The Unlicense,29,5,2022-12-09,5
INF502-Fall22,chavesana,Repo for information about INF502 Graduate Course: Software Development Methodologies @ NAU,,The Unlicense,29,5,2022-12-09,5
INF502-Fall22,chavesana,Repo for information about INF502 Graduate Course: Software Development Methodologies @ NAU,,The Unlicense,29,5,2022-12-09,5
free-programming-books,EbookFoundation,:books: Freely available programming books,https://ebookfoundation.github.io/free-programming-books/,Other,52802,257939,2022-12-09,257939
jabref,JabRef,Graphical Java application for managing BibTeX and biblatex (.bib) databases,https://devdocs.jabref.org,MIT License,1997,2827,2022-12-09,2827
INF502,igorsteinmacher,Repo for information about CS502 Graduate Course: Software Development Methodologies @ NAU,,The Unlicense,1,0,2022-12-09,0
rails,rails,Ruby on Rails,https://rubyonrails.org,MIT License,20799,51890,2022-12-09,51890
rails,rails,Ruby on Rails,https://rubyonrails.org,MIT License,20799,51890,2022-12-09,51890
INF502,igorsteinmacher,Repo for information about CS502 Graduate Course: Software Development Methodologies @ NAU,,The Unlicense,1,0,2022-12-09,0
INF502-Fall22,chavesana,Repo for information about INF502 Graduate Course: Software Development Methodologies @ NAU,,The Unlicense,29,5,2022-12-09,5
free-programming-books,EbookFoundation,:books: Freely available programming books,https://ebookfoundation.github.io/free-programming-books/,Other,52802,257941,2022-12-09,257941
freeCodeCamp,freeCodeCamp,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.,https://contribute.freecodecamp.org,"BSD 3-Clause ""New"" or ""Revised"" License",30563,358044,2022-12-09,358044
free-programming-books,EbookFoundation,:books: Freely available programming books,https://ebookfoundation.github.io/free-programming-books/,Other,52802,257941,2022-12-09,257941
INF502-Fall22,chavesana,Repo for information about INF502 Graduate Course: Software Development Methodologies @ NAU,,The Unlicense,29,5,2022-12-09,5
